Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,BOS55.4,DET27.3,DET22.6,TEX9.1,BOS38.8,CLE5.7,BAL6.0,NYY7.4,OAK7.4,TEX4.0,KCR4.6,LAA6.8,BOS6.6,BOS15.3,BOS4.6,TEX1.5
2,DET52.6,OAK21.6,CHW15.2,KCR7.6,TEX28.9,KCR4.7,BOS4.5,BOS6.1,DET7.3,BAL4.0,LAA3.6,BOS6.3,TOR4.9,LAA12.0,TOR2.8,KCR1.2
3,TEX47.7,CHW20.5,OAK14.2,OAK7.5,TBR26.6,MIN4.6,KCR3.4,CLE5.4,BAL6.8,DET3.9,CLE2.9,TOR5.0,TEX3.4,TOR10.8,LAA2.3,TBR1.1
4,OAK44.1,TEX18.8,SEA11.8,MIN7.1,CLE26.2,BOS3.5,TOR3.1,TEX4.5,TBR5.8,BOS3.7,BOS2.4,TEX4.5,TBR3.1,KCR10.7,SEA2.0,BOS1.0
5,TBR40.2,BOS16.6,BOS10.8,TOR7.0,BAL25.4,HOU3.4,CLE2.9,TBR3.6,TEX5.1,TBR3.7,NYY1.5,NYY4.5,CLE2.5,TEX9.1,MIN2.0,CLE0.9
6,CLE39.4,KCR15.7,TBR10.5,NYY6.4,DET25.3,OAK3.3,TBR2.5,MIN3.5,SEA3.8,TOR3.1,TEX1.2,BAL4.4,OAK2.2,CLE7.7,KCR1.6,TOR0.7
7,KCR39.2,NYY14.9,CLE10.3,BOS6.1,LAA24.3,TEX2.9,LAA2.0,LAA2.9,TOR2.3,CHW2.9,TBR1.1,KCR3.9,KCR2.2,NYY7.4,TEX1.6,OAK0.7
8,BAL36.5,TBR13.6,TEX9.8,CHW5.6,KCR23.5,LAA2.4,MIN1.9,DET2.6,HOU2.1,MIN2.3,BAL1.1,DET3.5,DET2.1,TBR7.1,CLE1.6,LAA0.6
9,LAA34.5,CLE13.2,NYY8.8,BAL4.7,TOR23.0,TBR1.4,DET1.9,SEA2.5,MIN1.5,LAA1.5,DET1.0,OAK3.1,LAA1.6,DET6.6,TBR1.4,DET0.5
10,TOR31.7,SEA12.4,KCR8.1,DET4.5,OAK22.5,DET1.2,OAK1.4,BAL1.8,CLE0.9,OAK1.5,TOR0.9,TBR2.9,CHW1.4,OAK6.1,OAK1.3,NYY0.4
11,NYY29.8,BAL11.1,LAA7.9,TBR3.4,MIN15.8,BAL0.6,SEA1.1,KCR1.6,LAA0.6,CLE1.1,OAK0.8,CLE2.3,NYY1.4,BAL5.6,DET1.3,MIN0.4
12,SEA23.8,LAA10.2,BAL6.6,CLE2.9,NYY14.9,NYY0.1,NYY0.3,TOR1.2,CHW0.2,SEA0.9,SEA0.6,HOU1.2,BAL0.1,CHW1.8,NYY0.5,BAL0.4
13,CHW22.1,TOR8.7,HOU3.4,LAA2.2,SEA11.4,SEA-0.6,TEX0.2,HOU0.8,NYY0.1,KCR0.4,CHW0.2,SEA1.2,MIN-0.2,SEA1.4,HOU0.2,SEA0.3
14,MIN21.9,MIN6.1,TOR1.8,SEA0.8,HOU4.7,CHW-1.0,HOU-0.3,OAK0.8,BOS0.1,HOU-0.2,MIN-0.6,MIN0.4,SEA-0.4,MIN-0.4,BAL0.2,HOU-0.4
15,HOU7.6,HOU2.9,MIN-0.8,HOU-0.3,CHW1.6,TOR-1.0,CHW-1.1,CHW0.0,KCR-0.1,NYY-1.3,HOU-0.7,CHW0.2,HOU-1.4,HOU-0.9,CHW-0.8,CHW-0.4
AVG,35.1,14.2,9.4,5.0,20.9,2.1,2.0,3.0,2.9,2.1,1.4,3.3,2.0,6.7,1.5,0.6
