Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,LAD46.0,STL21.8,STL15.0,ATL9.6,PIT28.5,CHC5.2,ARI7.0,STL4.4,NYM5.9,ATL7.0,PIT4.8,PIT8.1,ARI5.2,PIT13.9,SFG0.2,LAD1.7
2,ATL44.9,ATL20.9,CIN14.5,STL7.4,LAD26.8,STL5.0,CIN6.3,PIT4.0,SDP3.5,COL5.0,COL4.7,MIL7.8,CIN5.2,MIL13.8,LAD0.2,CHC1.5
3,CIN43.9,CIN20.8,LAD13.9,PIT7.1,ARI24.7,SFG4.1,ATL5.9,PHI3.4,LAD3.4,LAD5.0,MIL3.2,CIN4.8,WSN4.7,ARI9.9,PIT0.2,ARI1.4
4,PIT42.0,LAD19.2,MIA13.4,COL6.7,ATL24.0,ATL3.3,SFG4.7,LAD2.7,WSN3.4,MIL4.1,STL2.6,ARI3.6,LAD4.6,CIN9.6,WSN0.1,NYM1.2
5,STL40.9,MIA19.1,WSN11.3,CIN6.4,SFG23.9,PIT3.3,LAD3.6,ARI2.4,COL3.2,WSN3.7,PHI2.3,WSN2.5,SFG3.8,WSN9.1,STL0.1,PIT1.2
6,COL32.4,COL17.1,COL10.6,MIA5.8,CIN23.1,LAD2.5,CHC2.8,SDP2.0,PIT3.2,SDP2.6,SDP2.3,SFG2.5,ATL3.8,LAD7.7,SDP0.1,ATL1.0
7,WSN31.1,WSN14.6,ATL10.5,SDP4.1,MIL20.2,MIL2.2,STL2.3,SFG2.0,CHC2.7,ARI2.6,ATL2.1,NYM2.4,NYM3.7,COL7.3,NYM0.1,SFG1.0
8,ARI29.5,PIT13.5,PHI10.4,LAD3.7,SDP19.2,WSN1.7,SDP1.9,CIN1.9,CIN2.6,SFG2.4,WSN1.9,CHC2.0,SDP3.5,SFG7.0,MIL0.1,MIL0.8
9,SFG27.2,PHI12.0,NYM9.5,SFG3.5,STL19.1,SDP1.7,NYM0.9,NYM1.7,SFG2.5,PIT2.0,CHC1.5,LAD1.9,MIA2.9,SDP7.0,COL0.1,SDP0.4
10,CHC26.6,CHC10.7,CHC9.1,WSN3.4,WSN16.5,PHI1.4,PIT0.7,MIL1.1,ATL2.2,CIN1.9,MIA1.3,STL1.5,MIL2.8,STL6.8,CHC0.1,CIN0.4
11,MIL24.6,NYM7.6,PIT7.5,ARI2.4,NYM15.9,COL1.1,PHI0.4,COL0.5,ARI1.8,PHI0.2,LAD1.2,COL1.3,STL2.7,NYM6.8,ATL0.1,STL-0.1
12,SDP23.6,ARI4.8,ARI2.7,MIL2.4,CHC15.9,NYM0.8,WSN0.3,MIA0.3,STL0.9,STL-0.3,ARI1.1,SDP1.2,COL1.3,ATL5.2,PHI-0.1,PHI-0.4
13,NYM23.5,SDP4.4,MIL2.4,PHI1.5,COL15.3,CIN0.5,MIA-0.9,CHC-0.7,MIA0.6,CHC-0.3,SFG0.7,MIA0.7,CHC1.1,MIA4.9,MIA-0.1,MIA-0.5
14,MIA18.7,MIL4.4,SFG0.5,CHC1.3,PHI4.6,ARI-0.3,COL-1.3,ATL-0.7,MIL0.0,NYM-1.5,NYM0.7,PHI0.1,PIT1.0,CHC4.6,CIN-0.1,COL-0.6
15,PHI16.6,SFG3.3,SDP-0.5,NYM-1.4,MIA-0.4,MIA-2.5,MIL-1.9,WSN-0.9,PHI-1.0,MIA-2.2,CIN-0.4,ATL-0.7,PHI-1.7,PHI0.7,ARI-0.1,WSN-0.9
AVG,31.4,12.9,8.7,4.3,18.5,2.0,2.2,1.6,2.3,2.1,2.0,2.6,3.0,7.6,0.1,0.5
